TR Period,TR Start Date,TR End Date,Country/Region,Emergency Requests Received,Requests Rejected/Challenged and No Data Provided,Requests where No Data Provided,Requests where Data Provided,Percentage of Requests where Data Provided
2015 H1,1/1/15,6/30/15,Austria,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Belgium,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Brazil,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Canada,14, -, -, -, -
2015 H1,1/1/15,6/30/15,France,7, -, -, -, -
2015 H1,1/1/15,6/30/15,Germany,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Greece,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Hungary,1, -, -, -, -
2015 H1,1/1/15,6/30/15,India,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Ireland,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Italy,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Japan,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Monaco,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Netherlands,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Spain,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Sweden,2, -, -, -, -
2015 H1,1/1/15,6/30/15,United Kingdom,98, -, -, -, -
2015 H1,1/1/15,6/30/15,United States of America,107, -, -, -, -
2015 H2,7/1/15,12/31/15,Australia,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Canada,6, -, -, -, -
2015 H2,7/1/15,12/31/15,Chile,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Denmark,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Finland,1, -, -, -, -
2015 H2,7/1/15,12/31/15,France,4, -, -, -, -
2015 H2,7/1/15,12/31/15,Germany,3, -, -, -, -
2015 H2,7/1/15,12/31/15,Ireland,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Italy,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Japan,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Nepal,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Netherlands,3, -, -, -, -
2015 H2,7/1/15,12/31/15,Switzerland,2, -, -, -, -
2015 H2,7/1/15,12/31/15,United Kingdom,43, -, -, -, -
2015 H2,7/1/15,12/31/15,United States of America,106, -, -, -, -
2016 H1,1/1/16,6/30/16,Canada,4, -, -, -, -
2016 H1,1/1/16,6/30/16,China,1, -, -, -, -
2016 H1,1/1/16,6/30/16,France,3, -, -, -, -
2016 H1,1/1/16,6/30/16,India,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Ireland,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Italy,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Netherlands,3, -, -, -, -
2016 H1,1/1/16,6/30/16,Pakistan,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Slovenia,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Sweden,1, -, -, -, -
2016 H1,1/1/16,6/30/16,United Kingdom,58, -, -, -, -
2016 H1,1/1/16,6/30/16,United States of America,96, -, -, -, -
2016 H2,7/1/16,12/31/16,Australia,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Brazil,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Canada,13,0,2,11,85%
2016 H2,7/1/16,12/31/16,Denmark,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Ecuador,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,France,6,0,1,5,83%
2016 H2,7/1/16,12/31/16,Germany,4,0,0,4,100%
2016 H2,7/1/16,12/31/16,India,3,0,0,3,100%
2016 H2,7/1/16,12/31/16,Italy,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Mexico,2,1,0,1,50%
2016 H2,7/1/16,12/31/16,Netherlands,3,0,1,2,67%
2016 H2,7/1/16,12/31/16,Norway,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Spain,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Sweden,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Switzerland,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Taiwan,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,United Kingdom,52,1,9,42,81%
2016 H2,7/1/16,12/31/16,United States of America,81,1,9,71,88%
2017 H1,1/1/17,6/30/17,Australia,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Austria,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Canada,17,1,1,15,88%
2017 H1,1/1/17,6/30/17,China,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Czech Republic,1,0,1,0,0%
2017 H1,1/1/17,6/30/17,Eswatini,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,France,7,0,3,4,57%
2017 H1,1/1/17,6/30/17,Germany,4,1,0,3,75%
2017 H1,1/1/17,6/30/17,Iceland,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,India,2,0,0,2,100%
2017 H1,1/1/17,6/30/17,Israel,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Japan,1,0,1,0,0%
2017 H1,1/1/17,6/30/17,Lithuania,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Mexico,2,0,0,2,100%
2017 H1,1/1/17,6/30/17,Netherlands,3,0,0,3,100%
2017 H1,1/1/17,6/30/17,Sweden,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Switzerland,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,United Kingdom,104,8,18,78,75%
2017 H1,1/1/17,6/30/17,United States of America,118,1,16,101,86%
2017 H2,7/1/17,12/31/17,Australia,3,0,0,3,100%
2017 H2,7/1/17,12/31/17,Barbados,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Brazil,3,0,1,2,67%
2017 H2,7/1/17,12/31/17,Canada,31,1,3,27,87%
2017 H2,7/1/17,12/31/17,China,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,France,5,0,1,4,80%
2017 H2,7/1/17,12/31/17,Germany,4,0,1,3,75%
2017 H2,7/1/17,12/31/17,Ireland,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Italy,5,0,2,3,60%
2017 H2,7/1/17,12/31/17,Japan,4,0,1,3,75%
2017 H2,7/1/17,12/31/17,Lithuania,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Mexico,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Netherlands,5,0,0,5,100%
2017 H2,7/1/17,12/31/17,Norway,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Poland,3,0,0,3,100%
2017 H2,7/1/17,12/31/17,Spain,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Switzerland,5,0,1,4,80%
2017 H2,7/1/17,12/31/17,Ukraine,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,United Kingdom,98,2,21,75,77%
2017 H2,7/1/17,12/31/17,United States of America,113,6,12,95,84%
2018 H1,1/1/18,6/30/18,Australia,2,0,1,1,50%
2018 H1,1/1/18,6/30/18,Brazil,3,1,0,2,67%
2018 H1,1/1/18,6/30/18,Canada,24,1,1,22,92%
2018 H1,1/1/18,6/30/18,Czech Republic,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Dominican Republic,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,France,9,0,0,9,100%
2018 H1,1/1/18,6/30/18,Germany,9,0,0,9,100%
2018 H1,1/1/18,6/30/18,Iceland,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,India,3,0,0,3,100%
2018 H1,1/1/18,6/30/18,Ireland,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Israel,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Italy,4,0,0,4,100%
2018 H1,1/1/18,6/30/18,Mexico,9,0,1,8,89%
2018 H1,1/1/18,6/30/18,Netherlands,2,0,0,2,100%
2018 H1,1/1/18,6/30/18,Norway,3,0,0,3,100%
2018 H1,1/1/18,6/30/18,Poland,2,1,0,1,50%
2018 H1,1/1/18,6/30/18,Slovakia,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,South Korea,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Spain,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Sweden,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Switzerland,9,0,3,6,67%
2018 H1,1/1/18,6/30/18,Taiwan,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,United Arab Emirates,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,United Kingdom,172,0,40,132,77%
2018 H1,1/1/18,6/30/18,United States of America,145,6,10,129,89%