TR Period,TR Start Date,TR End Date,Country/Region,Financial Identifier Requests Received,Financial Identifiers Specified in Requests,Requests where Data Provided,Percentage of Requests where Data Provided
2016 H2,7/1/16,12/31/16,Australia,124,1718,93,75%
2016 H2,7/1/16,12/31/16,Austria,1,1,1,100%
2016 H2,7/1/16,12/31/16,Belgium,4,4,1,25%
2016 H2,7/1/16,12/31/16,Brazil,8,8,2,25%
2016 H2,7/1/16,12/31/16,Canada,23,1262,23,100%
2016 H2,7/1/16,12/31/16,China,22,113,12,55%
2016 H2,7/1/16,12/31/16,Czech Republic,9,9,5,56%
2016 H2,7/1/16,12/31/16,Denmark,10,20,7,70%
2016 H2,7/1/16,12/31/16,Finland,2,2,1,50%
2016 H2,7/1/16,12/31/16,France,87,102,54,62%
2016 H2,7/1/16,12/31/16,Germany,270,876,150,56%
2016 H2,7/1/16,12/31/16,Greece,3,3,0,0%
2016 H2,7/1/16,12/31/16,Hong Kong,175,367,147,84%
2016 H2,7/1/16,12/31/16,Hungary,1,1,0,0%
2016 H2,7/1/16,12/31/16,India,6,5887,5,83%
2016 H2,7/1/16,12/31/16,Ireland,1,1,0,0%
2016 H2,7/1/16,12/31/16,Italy,104,106,49,47%
2016 H2,7/1/16,12/31/16,Japan,53,76,45,85%
2016 H2,7/1/16,12/31/16,Luxembourg,8,12,6,75%
2016 H2,7/1/16,12/31/16,Macau,3,3,1,33%
2016 H2,7/1/16,12/31/16,Netherlands,3,46,3,100%
2016 H2,7/1/16,12/31/16,New Zealand,6,30,4,67%
2016 H2,7/1/16,12/31/16,Norway,7,7,2,29%
2016 H2,7/1/16,12/31/16,Poland,2,2,1,50%
2016 H2,7/1/16,12/31/16,Portugal,3,3,3,100%
2016 H2,7/1/16,12/31/16,Russia,4,4,0,0%
2016 H2,7/1/16,12/31/16,Singapore,72,571,71,99%
2016 H2,7/1/16,12/31/16,South Korea,6,6,5,83%
2016 H2,7/1/16,12/31/16,Spain,115,124,58,50%
2016 H2,7/1/16,12/31/16,Sweden,5,5,2,40%
2016 H2,7/1/16,12/31/16,Switzerland,14,119,13,93%
2016 H2,7/1/16,12/31/16,Taiwan,69,205,60,87%
2016 H2,7/1/16,12/31/16,Thailand,1,1,1,100%
2016 H2,7/1/16,12/31/16,Turkey,98,102,69,70%
2016 H2,7/1/16,12/31/16,United Arab Emirates,1,1,1,100%
2016 H2,7/1/16,12/31/16,United Kingdom,128,1091,94,73%
2016 H2,7/1/16,12/31/16,United States of America,944,8361,832,88%
2017 H1,1/1/17,6/30/17,Australia,93,878,66,71%
2017 H1,1/1/17,6/30/17,Austria,10,56,9,90%
2017 H1,1/1/17,6/30/17,Belarus,2,7,2,100%
2017 H1,1/1/17,6/30/17,Belgium,5,6,4,80%
2017 H1,1/1/17,6/30/17,Brazil,6,6,2,33%
2017 H1,1/1/17,6/30/17,Bulgaria,2,2,2,100%
2017 H1,1/1/17,6/30/17,Canada,11,132,9,82%
2017 H1,1/1/17,6/30/17,China,33,226,27,82%
2017 H1,1/1/17,6/30/17,Czech Republic,8,10,8,100%
2017 H1,1/1/17,6/30/17,Denmark,7,7,4,57%
2017 H1,1/1/17,6/30/17,Finland,5,5,4,80%
2017 H1,1/1/17,6/30/17,France,124,144,97,78%
2017 H1,1/1/17,6/30/17,Germany,496,2199,434,88%
2017 H1,1/1/17,6/30/17,Hong Kong,122,324,95,78%
2017 H1,1/1/17,6/30/17,Hungary,2,2,0,0%
2017 H1,1/1/17,6/30/17,India,6,6,3,50%
2017 H1,1/1/17,6/30/17,Ireland,3,21,1,33%
2017 H1,1/1/17,6/30/17,Italy,114,138,74,65%
2017 H1,1/1/17,6/30/17,Japan,52,91,44,85%
2017 H1,1/1/17,6/30/17,Luxembourg,1,2,1,100%
2017 H1,1/1/17,6/30/17,Macau,6,7,4,67%
2017 H1,1/1/17,6/30/17,Netherlands,6,25,6,100%
2017 H1,1/1/17,6/30/17,New Zealand,5,5,3,60%
2017 H1,1/1/17,6/30/17,Norway,6,6,6,100%
2017 H1,1/1/17,6/30/17,Poland,2,2,1,50%
2017 H1,1/1/17,6/30/17,Portugal,5,5,4,80%
2017 H1,1/1/17,6/30/17,Russia,10,10,6,60%
2017 H1,1/1/17,6/30/17,Singapore,34,251,28,82%
2017 H1,1/1/17,6/30/17,South Korea,13,18,9,69%
2017 H1,1/1/17,6/30/17,Spain,178,225,148,83%
2017 H1,1/1/17,6/30/17,Sweden,5,5,4,80%
2017 H1,1/1/17,6/30/17,Switzerland,81,872,60,74%
2017 H1,1/1/17,6/30/17,Taiwan,160,1006,145,91%
2017 H1,1/1/17,6/30/17,Turkey,189,195,151,80%
2017 H1,1/1/17,6/30/17,United Kingdom,147,1387,116,79%
2017 H1,1/1/17,6/30/17,United States of America,741,14426,605,82%
2017 H2,7/1/17,12/31/17,Australia,107,1001,81,76%
2017 H2,7/1/17,12/31/17,Austria,16,275,16,100%
2017 H2,7/1/17,12/31/17,Belgium,6,68,5,83%
2017 H2,7/1/17,12/31/17,Brazil,2,2,0,0%
2017 H2,7/1/17,12/31/17,Canada,12,89,10,83%
2017 H2,7/1/17,12/31/17,Chile,1,1,1,100%
2017 H2,7/1/17,12/31/17,China,29,1896,24,83%
2017 H2,7/1/17,12/31/17,Costa Rica,3,3,3,100%
2017 H2,7/1/17,12/31/17,Czech Republic,5,5,4,80%
2017 H2,7/1/17,12/31/17,Dominican Republic,1,1,0,0%
2017 H2,7/1/17,12/31/17,Finland,3,3,2,67%
2017 H2,7/1/17,12/31/17,France,156,190,105,67%
2017 H2,7/1/17,12/31/17,Germany,983,4811,876,89%
2017 H2,7/1/17,12/31/17,Greece,1,1,0,0%
2017 H2,7/1/17,12/31/17,Hong Kong,72,169,63,88%
2017 H2,7/1/17,12/31/17,Hungary,4,4,2,50%
2017 H2,7/1/17,12/31/17,India,17,18,12,71%
2017 H2,7/1/17,12/31/17,Ireland,7,40,6,86%
2017 H2,7/1/17,12/31/17,Italy,96,97,72,75%
2017 H2,7/1/17,12/31/17,Japan,58,200,46,79%
2017 H2,7/1/17,12/31/17,Macau,3,3,2,67%
2017 H2,7/1/17,12/31/17,Netherlands,2,529,2,100%
2017 H2,7/1/17,12/31/17,New Zealand,13,82,11,85%
2017 H2,7/1/17,12/31/17,Norway,6,11,5,83%
2017 H2,7/1/17,12/31/17,Poland,7,13,6,86%
2017 H2,7/1/17,12/31/17,Portugal,1,1,1,100%
2017 H2,7/1/17,12/31/17,Romania,4,4,4,100%
2017 H2,7/1/17,12/31/17,Russia,10,12,7,70%
2017 H2,7/1/17,12/31/17,Singapore,34,390,29,85%
2017 H2,7/1/17,12/31/17,South Korea,15,28,9,60%
2017 H2,7/1/17,12/31/17,Spain,202,218,176,87%
2017 H2,7/1/17,12/31/17,Sweden,12,14,11,92%
2017 H2,7/1/17,12/31/17,Switzerland,82,1213,74,90%
2017 H2,7/1/17,12/31/17,Taiwan,242,1358,228,94%
2017 H2,7/1/17,12/31/17,Turkey,75,80,55,73%
2017 H2,7/1/17,12/31/17,United Arab Emirates,3,3,3,100%
2017 H2,7/1/17,12/31/17,United Kingdom,96,1208,85,89%
2017 H2,7/1/17,12/31/17,United States of America,715,10009,600,84%
2018 H1,1/1/18,6/30/18,Argentina,2,2,2,100%
2018 H1,1/1/18,6/30/18,Australia,113,1728,71,63%
2018 H1,1/1/18,6/30/18,Austria,25,351,22,88%
2018 H1,1/1/18,6/30/18,Belgium,14,21,12,86%
2018 H1,1/1/18,6/30/18,Brazil,2,2,2,100%
2018 H1,1/1/18,6/30/18,Canada,18,617,18,100%
2018 H1,1/1/18,6/30/18,Chile,1,1,0,0%
2018 H1,1/1/18,6/30/18,China,47,1662,41,87%
2018 H1,1/1/18,6/30/18,Czech Republic,7,7,6,86%
2018 H1,1/1/18,6/30/18,Denmark,2,2,2,100%
2018 H1,1/1/18,6/30/18,Estonia,1,1,1,100%
2018 H1,1/1/18,6/30/18,Finland,1,1,0,0%
2018 H1,1/1/18,6/30/18,France,238,313,165,69%
2018 H1,1/1/18,6/30/18,Germany,1229,6389,1035,84%
2018 H1,1/1/18,6/30/18,Hong Kong,91,151,65,71%
2018 H1,1/1/18,6/30/18,Hungary,5,5,4,80%
2018 H1,1/1/18,6/30/18,India,34,3199,29,85%
2018 H1,1/1/18,6/30/18,Ireland,10,69,3,30%
2018 H1,1/1/18,6/30/18,Italy,129,215,82,64%
2018 H1,1/1/18,6/30/18,Japan,73,127,59,81%
2018 H1,1/1/18,6/30/18,Luxembourg,1,1,1,100%
2018 H1,1/1/18,6/30/18,Macau,3,6,2,67%
2018 H1,1/1/18,6/30/18,Mexico,1,2,0,0%
2018 H1,1/1/18,6/30/18,Moldova,2,2,2,100%
2018 H1,1/1/18,6/30/18,Netherlands,1,1,1,100%
2018 H1,1/1/18,6/30/18,New Zealand,12,42,7,58%
2018 H1,1/1/18,6/30/18,Norway,9,10,8,89%
2018 H1,1/1/18,6/30/18,Poland,10,11,10,100%
2018 H1,1/1/18,6/30/18,Portugal,8,9,6,75%
2018 H1,1/1/18,6/30/18,Romania,3,4,3,100%
2018 H1,1/1/18,6/30/18,Russia,5,5,3,60%
2018 H1,1/1/18,6/30/18,Singapore,35,386,32,91%
2018 H1,1/1/18,6/30/18,South Korea,15,15,12,80%
2018 H1,1/1/18,6/30/18,Spain,388,399,301,78%
2018 H1,1/1/18,6/30/18,Sweden,8,8,8,100%
2018 H1,1/1/18,6/30/18,Switzerland,139,1333,94,68%
2018 H1,1/1/18,6/30/18,Taiwan,185,823,163,88%
2018 H1,1/1/18,6/30/18,Turkey,85,88,64,75%
2018 H1,1/1/18,6/30/18,United Arab Emirates,2,2,2,100%
2018 H1,1/1/18,6/30/18,United Kingdom,101,939,80,79%
2018 H1,1/1/18,6/30/18,United States of America,918,14556,767,84%